
Overlap Results

Collection(s):	C2
# overlaps shown:	10
# genesets in collections:	7561
# genes in comparison (n):	34
# genes in universe (N):	43414

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	321	Extracellular matrix organization	8	0.0249	1.26E-10	9.51E-7
CROMER_TUMORIGENESIS_UP	58	Tumorigenesis markers of head and neck squamous cell carcinoma (HNSCC): up-regulated in the 'early' tumors vs normal samples.	5	0.0862	9.63E-10	3.02E-6
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	140	Degradation of the extracellular matrix	6	0.0429	1.26E-9	3.02E-6
REACTOME_COLLAGEN_DEGRADATION	64	Collagen degradation	5	0.0781	1.6E-9	3.02E-6
REACTOME_COLLAGEN_FORMATION	90	Collagen formation	5	0.0556	9.08E-9	1.37E-5
WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	46	Chronic hyperglycemia impairment of neuron function	4	0.0870	5E-8	6.3E-5
NABA_MATRISOME	1026	Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins	9	0.0088	6.85E-8	7.4E-5
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	61	Assembly of collagen fibrils and other multimeric structures	4	0.0656	1.58E-7	1.5E-4
WP_MATRIX_METALLOPROTEINASES	30	Matrix metalloproteinases	3	0.1000	1.76E-6	1.48E-3
NABA_CORE_MATRISOME	275	Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans	5	0.0182	2.35E-6	1.62E-3


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	CROMER_TUMORIGENESIS_UP	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_FORMATION	WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	NABA_MATRISOME	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	WP_MATRIX_METALLOPROTEINASES	NABA_CORE_MATRISOME
4314	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	CROMER_TUMORIGENESIS_UP	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_FORMATION	WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	NABA_MATRISOME	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	WP_MATRIX_METALLOPROTEINASES	
1301	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	CROMER_TUMORIGENESIS_UP	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_FORMATION		NABA_MATRISOME	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES		NABA_CORE_MATRISOME
4319	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	CROMER_TUMORIGENESIS_UP	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_COLLAGEN_DEGRADATION		WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	NABA_MATRISOME		WP_MATRIX_METALLOPROTEINASES	
4322	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION		REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_FORMATION	WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	NABA_MATRISOME	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	WP_MATRIX_METALLOPROTEINASES	
1294	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION		REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_FORMATION		NABA_MATRISOME	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES		NABA_CORE_MATRISOME
222663	SCUBE3	signal peptide, CUB domain and EGF like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:13655]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION		REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX				NABA_MATRISOME			
169044	COL22A1	collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION				REACTOME_COLLAGEN_FORMATION		NABA_MATRISOME			NABA_CORE_MATRISOME
1311	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION						NABA_MATRISOME			NABA_CORE_MATRISOME
10631	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]		CROMER_TUMORIGENESIS_UP					NABA_MATRISOME			NABA_CORE_MATRISOME
