"marker";"friend";"marker.index";"friend.index";"friend.rank"
"ABCA13|154664";"HNSCC25";63;24;1
"ABCA13|154664";"HNSCC23";63;22;2
"ABCA13|154664";"HNSCC24";63;23;3
"ABCA13|154664";"HNSCC35";63;33;4
"ABCA13|154664";"HNSCC43";63;40;5
"ABCA13|154664";"HNSCC9";63;8;6
"ABCA13|154664";"HNSCC5";63;5;7
"ABCA13|154664";"HNSCC42";63;39;8
"ABCA13|154664";"HNSCC3";63;3;9
"ABCA13|154664";"HNSCC7";63;7;10
"ABCA13|154664";"HNSCC34";63;32;11
"ABCA13|154664";"HNSCC12";63;11;12
"ABCA13|154664";"HNSCC46";63;43;13
"ABCA13|154664";"HNSCC15";63;14;14
"ABCA13|154664";"HNSCC21";63;20;15
"ABCA13|154664";"HNSCC31";63;30;16
"ABCA13|154664";"HNSCC6";63;6;17
"ABCA13|154664";"HNSCC14";63;13;18
"ABCA13|154664";"HNSCC40";63;37;19
"ABCA13|154664";"HNSCC45";63;42;20
"ABCA13|154664";"HNSCC41";63;38;21
"ABCA13|154664";"HNSCC17";63;16;22
"ABCA13|154664";"HNSCC2";63;2;23
"ABCA13|154664";"HNSCC1";63;1;24
"ABCA13|154664";"HNSCC16";63;15;25
"ABCA13|154664";"HNSCC48";63;45;26
"ABCA13|154664";"HNSCC47";63;44;27
"AMDHD1|144193";"HNSCC19";615;18;1
"AMDHD1|144193";"HNSCC42";615;39;2
"AMDHD1|144193";"HNSCC7";615;7;3
"AMDHD1|144193";"HNSCC15";615;14;4
"AMDHD1|144193";"HNSCC4";615;4;5
"AMDHD1|144193";"HNSCC50";615;47;6
"AMDHD1|144193";"HNSCC13";615;12;7
"AMDHD1|144193";"HNSCC5";615;5;8
"AMDHD1|144193";"HNSCC37";615;35;9
"AMDHD1|144193";"HNSCC11";615;10;10
"AMDHD1|144193";"HNSCC44";615;41;11
"AMDHD1|144193";"HNSCC10";615;9;12
"ATP13A5|344905";"HNSCC50";1200;47;1
"ATP13A5|344905";"HNSCC44";1200;41;2
"ATP13A5|344905";"HNSCC23";1200;22;3
"ATP13A5|344905";"HNSCC24";1200;23;4
"ATP13A5|344905";"HNSCC5";1200;5;5
"ATP13A5|344905";"HNSCC46";1200;43;6
