;ABCA13|154664;AMDHD1|144193;ATP13A5|344905;C16orf73|254528;C1orf110|339512;CEL|1056;COL11A1|1301;COL22A1|169044;COL7A1|1294;COMP|1311;CR2|1380;CSAG2|728461;CXorf22|170063;CXorf59|286464;CYP26A1|1592;HOXD11|3237;KRT17|3872;LST-3TM12|338821;MMP10|4319;MMP13|4322;MMP3|4314;NKX2-4|644524;NOS2|4843;OCA2|4948;PIWIL2|55124;POSTN|10631;PPP4R4|57718;PRAME|23532;PTH2R|5746;SCUBE3|222663;SLCO1B3|28234;SOX14|8403;SULT1E1|6783;SYCP2|10388;TG|7038
ABCA13|154664;1.0;0.0966849443156939;0.2604009002290497;0.27465371462363175;0.28486801553224245;0.15028274979428144;0.32341801384638585;0.26448423484940914;0.3703636306185965;0.1711726563756476;0.0;0.11103983331811394;0.2791881206249267;0.22731906351420517;0.16875694462511256;0.19746733375232178;0.29609250871603465;0.14607128907132008;0.1645436559955412;0.20012238571540644;0.197728450958688;0.09024535702377609;0.35655362376718913;0.1800638976529717;0.167713649186037;0.22282758907138492;0.16326900635939381;0.1208996611806492;0.2005193382847133;0.1885159558620078;0.24107036363212836;0.1289911510651613;0.13425410094942175;0.4091737302394281;0.13545343307130714
AMDHD1|144193;0.0966849443156939;1.0;0.14449707592713626;0.13583612615095703;0.13133654016215693;0.0976566134794356;0.22824438545724296;0.05678999742863457;0.17608320536585118;0.21294526228427396;0.0;0.1611878338824698;0.2898244408265049;0.28277879669013456;0.1791121407720563;0.24191841793369195;0.18259708744072367;0.18631087079567912;0.1125644170117637;0.18673510408533595;0.20143345344814106;0.13334847307468867;0.09747317085675115;0.0;0.10033641677830663;0.1634088084038824;0.032529156000597435;0.22331632461885598;0.14849307415936489;0.09999759093779753;0.17267711124658805;0.03341670174961835;0.04958828012535906;0.16335594883330767;0.03485341039614561
ATP13A5|344905;0.2604009002290497;0.14449707592713626;1.0;0.08469380376230623;0.12531599250331896;0.05996158055206954;0.1851358882549401;0.15687601143761756;0.18020609166647947;0.15478461601705923;0.0;0.027608761216561646;0.1807002627668547;0.16149072049766405;0.1157882315226937;0.08928977919885443;0.22794735790790135;0.17419064766815018;0.09569401072677858;0.13816317085282745;0.2148336377234775;0.04164693467690779;0.1834401812787784;0.12810227780946204;0.0918157353598337;0.18494963152899868;0.11473426576514259;0.0569724366244749;0.18375835851333808;0.0921848459335659;0.14493354010160697;0.1554882827678527;0.081054213923988;0.25116634911995417;0.0
C16orf73|254528;0.27465371462363175;0.13583612615095703;0.08469380376230623;1.0;0.20221158241125972;0.12601521648206998;0.15016865674416616;0.07982066440424576;0.22511009502913282;0.06966808048545861;0.0;0.11717205061120131;0.18335077229428726;0.14300571179778715;0.13221147367429475;0.3111395245878234;0.14380615041719264;0.09355497138895144;0.13335728264371066;0.14460124356679646;0.11038584455560455;0.1068542828299309;0.10996062231037591;0.022805333996577033;0.304636201843698;0.12955503940722846;0.121741588618451;0.11247540191822268;0.1721856589626339;0.05081305703739854;0.14454725432299184;0.06802433490474027;0.0;0.19871161699326567;0.075097907030536
C1orf110|339512;0.28486801553224245;0.13133654016215693;0.12531599250331896;0.20221158241125972;1.0;0.2050177349159116;0.17868116580267407;0.11850331763684278;0.23468089505059667;0.14474475960977215;0.0;0.19860895654615335;0.26416265829015434;0.2532331319925084;0.10808208159742463;0.15864118814987488;0.15841976149054582;0.11984747645545955;0.08026650461099132;0.13339268883796937;0.15372437848689766;0.17206357676679476;0.16741526225817313;0.14658091009000881;0.22095603834933522;0.09134615219222289;0.11730562870497012;0.1125906433520251;0.12200236094242829;0.057028113117006216;0.19864046969370164;0.07827947650626356;0.05753238890513844;0.26097796892678377;0.1376251054635974
CEL|1056;0.15028274979428144;0.0976566134794356;0.05996158055206954;0.12601521648206998;0.2050177349159116;1.0;0.16899842749065966;0.17130695865423268;0.25578091187021224;0.09848460653720667;0.0;0.13091396949630116;0.19773852683546786;0.1585870501161792;0.0948015571157566;0.3305852626766943;0.1608900553962187;0.09877243849452408;0.1250304980612621;0.1245176542664592;0.21024442412321018;0.13104703365066486;0.11735176485068413;0.06626305687327304;0.07299423092386798;0.136308626500037;0.027608761216561646;0.12099582675232405;0.12729552147613948;0.05825183256711308;0.1651901062394485;0.04264668357308684;0.11689262761569001;0.21161116169397529;0.11108598464055108
COL11A1|1301;0.32341801384638585;0.22824438545724296;0.1851358882549401;0.15016865674416616;0.17868116580267407;0.16899842749065966;1.0;0.35700151600108054;0.32836265664102754;0.3874247321407284;0.0;0.14424372561595297;0.24640557735603458;0.21659780362673095;0.31364092363846663;0.2855739992845721;0.47097999562034076;0.1932553770660255;0.2879546696262069;0.4329074138281552;0.33889491919186704;0.083524212797124;0.17621634588027604;0.13420184635262378;0.16092307268678943;0.49413484999810436;0.15885034076864454;0.23449748523408095;0.22356538308226537;0.31074153669799504;0.21948847479162878;0.18683157979671797;0.26625111854024447;0.41920605093892643;0.21573376298277724
COL22A1|169044;0.26448423484940914;0.05678999742863457;0.15687601143761756;0.07982066440424576;0.11850331763684278;0.17130695865423268;0.35700151600108054;1.0;0.28178668746906477;0.1676834010283573;0.0;0.16307444599934456;0.09003517591931247;0.057162798216719435;0.1791913442268529;0.2672443517578972;0.364396950053288;0.03497994795008945;0.1649939878688365;0.18847208537462862;0.19619324064125954;0.0713582068297894;0.27406955098415775;0.28608277898859213;0.061076853018099134;0.2026713237415278;0.2998221333906439;0.20808319404070544;0.18938068431514937;0.3149692016962078;0.07352141491847881;0.40196713190571204;0.33668922712635285;0.35790115011618706;0.271900117690392
COL7A1|1294;0.3703636306185965;0.17608320536585118;0.18020609166647947;0.22511009502913282;0.23468089505059667;0.25578091187021224;0.32836265664102754;0.28178668746906477;1.0;0.14581397584210656;0.0;0.20668024306020047;0.3034717894415801;0.18682694257525498;0.1522174346358707;0.2724109214582571;0.36895683512555943;0.14182961163611624;0.134374034919327;0.23817818098458665;0.2503416604636046;0.11746897357146535;0.24507329506065678;0.1744995766701994;0.18256625456071418;0.19338746241196292;0.14656925636640755;0.12397835796372486;0.23395717343955127;0.15499727725007129;0.2255558845899805;0.12094765164269405;0.13100180505018877;0.4640735431856584;0.1596537312104714
COMP|1311;0.1711726563756476;0.21294526228427396;0.15478461601705923;0.06966808048545861;0.14474475960977215;0.09848460653720667;0.3874247321407284;0.1676834010283573;0.14581397584210656;1.0;0.0;0.05537021540481499;0.18765968311342604;0.21602262358281274;0.3196279817783207;0.13628366934649924;0.2599608973587811;0.22509183661412782;0.2177718801383955;0.34772337629482336;0.2095695803184252;0.06366676390812068;0.10523420394581805;0.05817415332488819;0.05585762490472004;0.4209386190771495;0.11066438930327753;0.16545663914162653;0.13932956517795178;0.2776701611827667;0.1876316467976176;0.11980516507252718;0.20426537755298077;0.22802460555400728;0.17481698391302516
